"","vwretd","ewretd","spindx","sprtrn","USGG10YR","t30ret","spTurnover","spTransactionCosts","CompoundAnnualReturn","Min_monthly","Max_monthly","portStdDev_monthly","portVaR","portCVaR","growth_multiplier","wealth_index","peak_wealth_index","drawdown","drawdown_pct"
"2003-07-31",0.017932,0.02837,990.31,0.016224,0.039594,0.000674,0,0,0.108060234407673,-0.10911273387,0.088599,0.0577967565799669,0.081530272981875,0.10911273387,1.017932,2476.16699630719,3613.97139534197,-1137.80439903478,-0.314834921079146
"2003-08-29",0.019597,0.044604,1008.01,0.017873,0.0443455,0.000689,0,0,0.121853483375248,-0.10911273387,0.088599,0.0578493823172486,0.081530272981875,0.10911273387,1.019597,2524.69244093382,3613.97139534197,-1089.27895440815,-0.301407741027534
"2003-09-30",-0.01083276007,-0.016561,995.97,-0.011944,0.042006,0.000865,0.038304028,0.00009576007,0.2456129478387,-0.0589628049825,0.088599,0.0447428334813687,0.041151712242125,0.0589628049825,0.98916723993,2497.34305347064,3613.97139534197,-1116.62834187133,-0.308975423355742
"2003-10-31",0.05556,0.070988,1050.71,0.054962,0.0411515,0.0007,0,0,0.207808571586616,-0.0589628049825,0.082774,0.040951533185899,0.041151712242125,0.0589628049825,1.05556,2636.09543352147,3613.97139534197,-977.875961820499,-0.270582097877387
"2003-11-28",0.009259,0.021267,1058.2,0.007129,0.0431215,0.000725,0,0,0.151057413654464,-0.0589628049825,0.082774,0.0387266357390814,0.041151712242125,0.0589628049825,1.009259,2660.50304114044,3613.97139534197,-953.468354201524,-0.263828417521634
"2003-12-31",0.0516765732975,0.053166,1111.92,0.050765,0.0428855,0.000831,0.041370681,0.0001034267025,0.286389233996534,-0.026579,0.082774,0.0329067726212879,0.02034585,0.026579,1.0516765732975,2797.98872155416,3613.97139534197,-815.982673787808,-0.225785592780154
"2004-01-30",0.019078,0.024211,1131.13,0.017276,0.041887,0.000696,0,0,0.346725587184497,-0.015246,0.082774,0.0292551674281683,0.0128187180385,0.015246,1.019078,2851.36875038397,3613.97139534197,-762.602644957998,-0.211015130319214
"2004-02-27",0.014403,0.020902,1144.94,0.012209,0.040515,0.000623,0,0,0.387272837497197,-0.01083276007,0.082774,0.0266362758612403,-0.000217707968500001,0.01083276007,1.014403,2892.43701449575,3613.97139534197,-721.534380846218,-0.199651381241202
"2004-03-31",-0.0150759561075,-0.00581,1126.21,-0.016359,0.0390295,0.000844,0.037582443,0.0000939561075,0.352555391048464,-0.0150759561075,0.082774,0.0290584674448848,0.012742198286875,0.0150759561075,0.9849240438925,2848.8307610215,3613.97139534197,-765.140634320464,-0.211717401888308
"2004-04-30",-0.015584,-0.024546,1107.3,-0.016791,0.0417005,0.000795,0,0,0.229690746023053,-0.015584,0.05556,0.0251550553465501,0.015304575859125,0.015584,0.984416,2804.43458244174,3613.97139534197,-809.536812900224,-0.224001997897281
