"","portRet","turnover","CompoundAnnualReturn","Min_monthly","Max_monthly","portStdDev_monthly","portVaR","portCVaR","growth_multiplier","wealth_index","peak_wealth_index","drawdown","drawdown_pct","monthly_Rf","portSR","monthly_Rm","Rp_minus_Rm","portIR","portBeta","portTR"
"1999-12-31",0.08980369,0.15,0.436574090103703,-0.138308612,0.163173966,0.0825212337338818,0.1012626327,0.138308612,1.08980369,5225.97288269221,5225.97288269221,0,0,0.003764,0.364269545827103,0.062579,0.02722469,0.260349360847931,1.31465467708416,0.0228652990456816
"2000-01-31",-0.111182298,0.187,0.0977313100547113,-0.138308612,0.115356376,0.0814124491284096,0.1233891393,0.138308612,0.888817702,4644.9372083088,5225.97288269221,-581.035674383404,-0.111182298,0.004343,0.0875320716871368,-0.04963,-0.061552298,0.0286992105835346,1.34516997059688,0.00529762073871696
"2000-02-29",0.181546178,0.162,0.505202734910096,-0.111182298,0.181546178,0.080468000948811,0.0890557914,0.111182298,1.181546178,5488.20780552726,5488.20780552726,0,0,0.004295,0.418847853837458,-0.017458,0.199004178,0.372933345802053,1.24751211745212,0.0270168514024823
"2000-03-31",0.109416772,0.194,0.542928345318853,-0.111182298,0.181546178,0.0822007017029377,0.0890557914,0.111182298,1.109416772,6088.70978767325,6088.70978767325,0,0,0.004377,0.437213585230448,0.098488,0.010928772,0.336116005734045,1.22877743419243,0.0292479846227156
"2000-04-28",-0.064494336,0.163,0.391667612599772,-0.111182298,0.181546178,0.0875643306183621,0.0890557914,0.111182298,0.935505664,5696.02249282057,6088.70978767325,-392.687294852687,-0.0644943359999999,0.004595,0.312893573671514,-0.031583,-0.032911336,0.292424565200493,1.26660263929404,0.02163134315637
"2000-05-31",-0.039612244,0.196,0.385061626650124,-0.111182298,0.181546178,0.0878894461327587,0.0890557914,0.111182298,0.960387756,5470.39026000547,6088.70978767325,-618.319527667783,-0.10155181462575,0.004782,0.306142438225066,-0.022304,-0.017308244,0.285413165280293,1.21873511433006,0.0220775532082079
"2000-06-30",0.063497446,0.198,0.417405059208344,-0.111182298,0.181546178,0.0883743741250742,0.0890557914,0.111182298,1.063497446,5817.74607013909,6088.70978767325,-270.96371753416,-0.0445026494911505,0.003744,0.3276798029598,0.026219,0.037278446,0.347769222812063,1.24395662918597,0.0232793465789478
"2000-07-31",0.046459186,0.27,0.429330183582547,-0.111182298,0.181546178,0.0884527206205305,0.0890557914,0.111182298,1.046459186,6088.03381691245,6088.70978767325,-0.675970760798918,-0.000111020361352653,0.004772,0.334565497730221,-0.012795,0.059254186,0.339845669030576,1.15240476296873,0.0256795437253871
"2000-08-31",0.105705926,0.23,0.493577110244329,-0.111182298,0.181546178,0.090683612384123,0.0890557914,0.111182298,1.105705926,6731.5750690485,6731.5750690485,0,0,0.005002,0.369007508121633,0.062594,0.043111926,0.320253264597273,1.18786527784503,0.0281706473431401
"2000-09-29",-0.003766222,0.267,0.601588319793261,-0.111182298,0.181546178,0.0852789453967054,0.0855039189,0.111182298,0.996233778,6706.2224629288,6731.5750690485,-25.3526061197017,-0.00376622199999996,0.005093,0.456690753528455,-0.052088,0.048321778,0.442080992144276,1.17829147227812,0.0330530320804534
